Date,Region,Category,Sales,Profit,Units_Sold
2025-05-07 21:42:08.617799,North,Electronics,202,52.38033666915341,11
2025-05-07 21:42:08.617799,North,Clothing,171,37.57412015953865,7
2025-05-07 21:42:08.617799,North,Home & Kitchen,221,28.994957798860156,11
2025-05-07 21:42:08.617799,South,Electronics,558,152.46525786848275,4
2025-05-07 21:42:08.617799,South,Clothing,971,234.60769460799204,6
2025-05-07 21:42:08.617799,South,Home & Kitchen,408,119.94464393641871,12
2025-05-07 21:42:08.617799,East,Electronics,513,73.08599275559114,12
2025-05-07 21:42:08.617799,East,Clothing,376,84.03460952400428,10
2025-05-07 21:42:08.617799,East,Home & Kitchen,121,12.271004586317163,9
2025-05-07 21:42:08.617799,West,Electronics,660,135.27025515410736,10
2025-05-07 21:42:08.617799,West,Clothing,575,169.4818846667678,14
2025-05-07 21:42:08.617799,West,Home & Kitchen,786,175.8102806671613,12
2025-05-08 21:42:08.617799,North,Electronics,666,197.5663539894642,9
2025-05-08 21:42:08.617799,North,Clothing,230,62.557258709870744,7
2025-05-08 21:42:08.617799,North,Home & Kitchen,120,22.81198204726903,2
2025-05-08 21:42:08.617799,South,Electronics,487,140.47045100370465,14
2025-05-08 21:42:08.617799,South,Clothing,341,60.38540547322228,10
2025-05-08 21:42:08.617799,South,Home & Kitchen,664,97.06270004262137,12
2025-05-08 21:42:08.617799,East,Electronics,466,110.2801599545327,12
2025-05-08 21:42:08.617799,East,Clothing,608,162.11650126711754,3
2025-05-08 21:42:08.617799,East,Home & Kitchen,305,54.35469706196769,2
2025-05-08 21:42:08.617799,West,Electronics,971,243.79118588368812,14
2025-05-08 21:42:08.617799,West,Clothing,489,69.23669462850886,4
2025-05-08 21:42:08.617799,West,Home & Kitchen,921,97.86790847031389,2
2025-05-09 21:42:08.617799,North,Electronics,829,157.46923531270716,10
2025-05-09 21:42:08.617799,North,Clothing,369,90.57267329420385,8
2025-05-09 21:42:08.617799,North,Home & Kitchen,561,78.0892771634281,9
2025-05-09 21:42:08.617799,South,Electronics,801,132.21791898827496,13
2025-05-09 21:42:08.617799,South,Clothing,437,90.86909237080557,8
2025-05-09 21:42:08.617799,South,Home & Kitchen,316,49.35506101224246,12
2025-05-09 21:42:08.617799,East,Electronics,592,75.8854282370119,13
2025-05-09 21:42:08.617799,East,Clothing,164,16.91287414111116,9
2025-05-09 21:42:08.617799,East,Home & Kitchen,443,79.28650251035548,8
2025-05-09 21:42:08.617799,West,Electronics,571,58.70791575406265,3
2025-05-09 21:42:08.617799,West,Clothing,692,167.64972626041316,3
2025-05-09 21:42:08.617799,West,Home & Kitchen,388,85.82249404300649,10
2025-05-10 21:42:08.617799,North,Electronics,330,75.97108368312833,12
2025-05-10 21:42:08.617799,North,Clothing,234,63.18180544056261,12
2025-05-10 21:42:08.617799,North,Home & Kitchen,132,14.877940447551024,7
2025-05-10 21:42:08.617799,South,Electronics,673,111.06967514480016,3
2025-05-10 21:42:08.617799,South,Clothing,783,178.14150001422635,11
2025-05-10 21:42:08.617799,South,Home & Kitchen,646,125.61016833092384,5
2025-05-10 21:42:08.617799,East,Electronics,561,151.3481310826546,5
2025-05-10 21:42:08.617799,East,Clothing,317,46.66144391208379,14
2025-05-10 21:42:08.617799,East,Home & Kitchen,970,104.84411637045568,10
2025-05-10 21:42:08.617799,West,Electronics,653,122.67734714366958,3
2025-05-10 21:42:08.617799,West,Clothing,674,188.1489326967904,1
2025-05-10 21:42:08.617799,West,Home & Kitchen,663,140.99034084406847,4
2025-05-11 21:42:08.617799,North,Electronics,833,106.51262030401888,7
2025-05-11 21:42:08.617799,North,Clothing,848,176.35704908476376,13
2025-05-11 21:42:08.617799,North,Home & Kitchen,135,38.95704640506548,7
2025-05-11 21:42:08.617799,South,Electronics,798,190.68767531313685,12
2025-05-11 21:42:08.617799,South,Clothing,677,152.2375381173156,14
2025-05-11 21:42:08.617799,South,Home & Kitchen,745,142.52365100195362,12
2025-05-11 21:42:08.617799,East,Electronics,655,120.06280317101796,14
2025-05-11 21:42:08.617799,East,Clothing,430,70.89367180645357,7
2025-05-11 21:42:08.617799,East,Home & Kitchen,447,76.55302672408156,14
2025-05-11 21:42:08.617799,West,Electronics,324,50.034169760124364,11
2025-05-11 21:42:08.617799,West,Clothing,732,192.95736173105297,9
2025-05-11 21:42:08.617799,West,Home & Kitchen,358,36.29777254603326,8
2025-05-12 21:42:08.617799,North,Electronics,510,93.57592232117545,5
2025-05-12 21:42:08.617799,North,Clothing,324,40.16727580322265,12
2025-05-12 21:42:08.617799,North,Home & Kitchen,763,220.18802081705041,6
2025-05-12 21:42:08.617799,South,Electronics,771,157.09751387282705,9
2025-05-12 21:42:08.617799,South,Clothing,791,136.6262030964043,1
2025-05-12 21:42:08.617799,South,Home & Kitchen,541,158.23679731273646,14
2025-05-12 21:42:08.617799,East,Electronics,906,180.70142926770026,1
2025-05-12 21:42:08.617799,East,Clothing,712,111.76128639935138,1
2025-05-12 21:42:08.617799,East,Home & Kitchen,798,177.08646770319154,2
2025-05-12 21:42:08.617799,West,Electronics,319,35.18434432974932,5
2025-05-12 21:42:08.617799,West,Clothing,835,235.18040295643115,3
2025-05-12 21:42:08.617799,West,Home & Kitchen,737,95.05750414624629,12
2025-05-13 21:42:08.617799,North,Electronics,829,246.3208452915376,7
2025-05-13 21:42:08.617799,North,Clothing,935,108.61957202421776,8
2025-05-13 21:42:08.617799,North,Home & Kitchen,222,32.95190125951771,6
2025-05-13 21:42:08.617799,South,Electronics,379,73.54878809100971,2
2025-05-13 21:42:08.617799,South,Clothing,297,53.390171881206456,1
2025-05-13 21:42:08.617799,South,Home & Kitchen,300,49.24680389830415,6
2025-05-13 21:42:08.617799,East,Electronics,563,60.89128093906642,4
2025-05-13 21:42:08.617799,East,Clothing,863,203.24760885397794,3
2025-05-13 21:42:08.617799,East,Home & Kitchen,445,90.076282188636,3
2025-05-13 21:42:08.617799,West,Electronics,247,56.57153584622682,4
2025-05-13 21:42:08.617799,West,Clothing,588,140.05427800085,7
2025-05-13 21:42:08.617799,West,Home & Kitchen,437,116.91586325630045,11
2025-05-14 21:42:08.617799,North,Electronics,572,81.11779341239445,14
2025-05-14 21:42:08.617799,North,Clothing,397,60.180565240583356,12
2025-05-14 21:42:08.617799,North,Home & Kitchen,243,64.01699892977908,9
2025-05-14 21:42:08.617799,South,Electronics,671,102.10327526224089,1
2025-05-14 21:42:08.617799,South,Clothing,403,118.11279971387677,5
2025-05-14 21:42:08.617799,South,Home & Kitchen,136,37.60770853475004,7
2025-05-14 21:42:08.617799,East,Electronics,108,16.82362121599113,3
2025-05-14 21:42:08.617799,East,Clothing,915,246.43898902960993,4
2025-05-14 21:42:08.617799,East,Home & Kitchen,251,45.40630798153394,1
2025-05-14 21:42:08.617799,West,Electronics,727,84.9339509102801,8
2025-05-14 21:42:08.617799,West,Clothing,519,145.16992476911082,4
2025-05-14 21:42:08.617799,West,Home & Kitchen,353,35.94931184413406,14
2025-05-15 21:42:08.617799,North,Electronics,572,133.10460238596158,13
2025-05-15 21:42:08.617799,North,Clothing,995,160.26740820853428,2
